datetime,city,state,latitude,longitude,aqi,temp,humidity,PM2.5,PM10,NO2,OZONE,CO,SO2,NH3
2025-08-06 17:22:07,Delhi,Delhi,28.6139,77.209,39,18.5,69.2,35.8,53.7,8.9,6.6,5.1,3.0,4.0
2025-08-06 18:22:07,Delhi,Delhi,28.6139,77.209,26,16.8,73.5,18.4,43.0,12.1,6.8,1.9,4.1,4.6
2025-08-06 19:22:07,Delhi,Delhi,28.6139,77.209,32,15.5,88.8,16.7,51.6,13.6,3.6,3.2,3.7,4.9
2025-08-06 20:22:07,Delhi,Delhi,28.6139,77.209,45,13.0,78.4,31.9,56.0,16.4,9.0,3.9,7.2,4.4
2025-08-06 21:22:07,Delhi,Delhi,28.6139,77.209,22,17.8,84.9,14.6,39.0,7.5,5.0,1.4,5.9,1.2
2025-08-06 22:22:07,Delhi,Delhi,28.6139,77.209,60,13.6,69.2,42.9,86.3,19.6,12.2,6.1,11.1,7.3
2025-08-06 23:22:07,Delhi,Delhi,28.6139,77.209,46,18.0,81.1,40.2,41.9,13.4,9.9,4.4,6.8,3.7
2025-08-07 00:22:07,Delhi,Delhi,28.6139,77.209,42,22.9,63.0,41.6,51.4,12.7,8.3,2.9,5.5,4.4
2025-08-07 01:22:07,Delhi,Delhi,28.6139,77.209,51,20.9,58.9,49.0,68.2,19.5,10.7,5.5,5.6,4.1
2025-08-07 02:22:07,Delhi,Delhi,28.6139,77.209,56,25.7,62.9,36.7,58.2,14.5,10.9,7.5,8.1,7.1
2025-08-07 03:22:07,Delhi,Delhi,28.6139,77.209,89,25.5,64.0,65.1,110.6,24.2,16.6,7.9,15.6,9.9
2025-08-07 04:22:07,Delhi,Delhi,28.6139,77.209,75,28.5,57.3,59.4,103.7,25.7,15.3,6.9,12.2,5.6
2025-08-07 05:22:07,Delhi,Delhi,28.6139,77.209,99,34.6,43.2,82.0,119.7,28.3,19.2,11.5,14.5,11.5
2025-08-07 06:22:07,Delhi,Delhi,28.6139,77.209,68,35.2,37.5,55.6,93.8,19.3,12.1,7.4,10.9,8.0
2025-08-07 07:22:07,Delhi,Delhi,28.6139,77.209,95,36.3,37.1,70.7,100.8,27.1,17.2,7.5,16.6,10.1
2025-08-07 08:22:07,Delhi,Delhi,28.6139,77.209,105,35.4,35.7,88.2,121.3,34.3,18.4,11.9,15.1,12.0
2025-08-07 09:22:07,Delhi,Delhi,28.6139,77.209,70,34.4,49.5,48.3,77.1,21.5,11.2,8.0,11.4,7.3
2025-08-07 10:22:07,Delhi,Delhi,28.6139,77.209,73,31.5,43.0,49.9,75.7,18.4,15.5,7.4,8.3,5.9
2025-08-07 11:22:07,Delhi,Delhi,28.6139,77.209,81,33.1,38.9,58.2,100.1,27.0,13.6,8.7,14.0,8.1
2025-08-07 12:22:07,Delhi,Delhi,28.6139,77.209,95,32.9,55.4,78.9,127.6,25.9,17.8,8.7,15.6,8.2
2025-08-07 13:22:07,Delhi,Delhi,28.6139,77.209,75,26.0,47.4,50.7,92.0,17.6,12.7,6.1,9.0,7.1
2025-08-07 14:22:07,Delhi,Delhi,28.6139,77.209,82,24.1,65.5,69.0,99.0,22.7,17.5,8.2,9.7,6.3
2025-08-07 15:22:07,Delhi,Delhi,28.6139,77.209,58,19.7,69.3,55.8,55.3,12.7,10.7,4.9,11.0,4.2
2025-08-07 16:22:07,Delhi,Delhi,28.6139,77.209,27,17.1,75.7,12.8,42.4,11.8,7.4,3.9,6.7,3.5
2025-08-07 17:22:07,Delhi,Delhi,28.6139,77.209,22,18.2,81.2,10.4,20.0,8.4,5.4,2.8,3.2,1.5
2025-08-07 18:22:07,Delhi,Delhi,28.6139,77.209,31,13.6,69.1,31.2,49.7,7.7,3.8,1.2,5.5,3.4
2025-08-07 19:22:07,Delhi,Delhi,28.6139,77.209,57,14.1,70.7,35.7,71.6,16.5,12.0,7.5,10.6,5.2
2025-08-07 20:22:07,Delhi,Delhi,28.6139,77.209,28,14.9,85.9,27.2,28.8,8.9,5.9,2.4,7.2,4.1
2025-08-07 21:22:07,Delhi,Delhi,28.6139,77.209,54,17.3,85.4,49.4,72.3,18.9,11.8,4.9,6.7,6.4
2025-08-07 22:22:07,Delhi,Delhi,28.6139,77.209,66,16.0,79.2,48.8,72.6,16.4,15.8,8.0,11.6,8.3
2025-08-07 23:22:07,Delhi,Delhi,28.6139,77.209,22,16.5,77.9,15.8,29.1,5.0,3.9,2.3,4.6,2.1
2025-08-08 00:22:07,Delhi,Delhi,28.6139,77.209,64,21.5,67.5,56.0,90.4,24.0,11.0,7.6,10.8,4.6
2025-08-08 01:22:07,Delhi,Delhi,28.6139,77.209,66,20.7,62.8,49.8,68.6,18.0,12.8,6.4,8.0,6.6
2025-08-08 02:22:07,Delhi,Delhi,28.6139,77.209,47,23.5,63.5,34.5,69.5,17.9,6.9,4.6,9.1,6.2
2025-08-08 03:22:07,Delhi,Delhi,28.6139,77.209,65,29.3,49.0,53.3,71.3,17.9,11.6,5.1,7.2,7.1
2025-08-08 04:22:07,Delhi,Delhi,28.6139,77.209,57,29.1,55.7,53.9,66.4,18.1,12.8,6.1,6.2,7.4
2025-08-08 05:22:07,Delhi,Delhi,28.6139,77.209,59,31.1,55.7,47.0,67.7,20.0,9.1,5.1,11.2,5.4
2025-08-08 06:22:07,Delhi,Delhi,28.6139,77.209,88,33.7,33.6,74.0,99.2,25.1,19.1,8.4,11.0,7.7
2025-08-08 07:22:07,Delhi,Delhi,28.6139,77.209,103,36.5,43.1,90.1,131.4,31.7,21.5,10.8,16.6,12.0
2025-08-08 08:22:07,Delhi,Delhi,28.6139,77.209,93,37.0,33.0,69.0,117.0,32.5,17.1,10.8,16.6,10.8
2025-08-08 09:22:07,Delhi,Delhi,28.6139,77.209,111,35.3,31.4,90.8,129.3,31.7,23.9,9.3,14.7,11.4
2025-08-08 10:22:07,Delhi,Delhi,28.6139,77.209,108,34.9,40.3,80.4,124.7,34.5,22.0,10.7,18.4,11.3
2025-08-08 11:22:07,Delhi,Delhi,28.6139,77.209,98,30.7,39.5,72.3,117.3,31.5,17.6,10.7,14.5,9.0
2025-08-08 12:22:07,Delhi,Delhi,28.6139,77.209,82,31.2,53.1,59.2,93.4,21.1,14.5,7.4,12.1,9.3
2025-08-08 13:22:07,Delhi,Delhi,28.6139,77.209,59,27.9,57.7,40.6,68.9,15.2,9.8,6.7,7.2,6.9
2025-08-08 14:22:07,Delhi,Delhi,28.6139,77.209,59,27.9,67.9,54.9,84.8,16.0,11.9,6.3,10.9,5.3
2025-08-08 15:22:07,Delhi,Delhi,28.6139,77.209,44,23.3,59.5,32.6,48.8,8.2,9.0,4.8,5.9,3.3
2025-08-08 16:22:07,Delhi,Delhi,28.6139,77.209,52,21.1,63.0,39.0,56.6,13.4,12.0,5.0,5.7,6.9
2025-08-08 17:22:07,Delhi,Delhi,28.6139,77.209,31,18.2,82.9,22.8,38.2,11.2,8.8,3.5,5.6,4.8
2025-08-08 18:22:07,Delhi,Delhi,28.6139,77.209,49,13.7,77.1,44.9,69.9,12.6,9.3,4.8,9.3,3.3
2025-08-08 19:22:07,Delhi,Delhi,28.6139,77.209,59,13.5,84.8,50.5,56.6,14.5,12.0,4.9,11.5,6.0
2025-08-08 20:22:07,Delhi,Delhi,28.6139,77.209,54,14.1,84.4,43.4,58.7,15.5,8.7,6.0,6.7,5.4
2025-08-08 21:22:07,Delhi,Delhi,28.6139,77.209,30,14.4,73.0,28.3,26.3,7.5,3.8,3.5,2.1,4.3
2025-08-08 22:22:07,Delhi,Delhi,28.6139,77.209,30,15.5,80.4,23.5,34.3,9.0,3.9,3.0,7.0,1.7
2025-08-08 23:22:07,Delhi,Delhi,28.6139,77.209,54,16.3,84.0,50.7,59.6,12.1,10.6,4.1,7.9,5.4
2025-08-09 00:22:07,Delhi,Delhi,28.6139,77.209,36,17.9,63.0,21.6,46.7,8.0,8.7,5.4,6.6,2.5
2025-08-09 01:22:07,Delhi,Delhi,28.6139,77.209,47,22.4,59.5,41.0,43.8,13.2,8.9,4.1,5.9,3.7
2025-08-09 02:22:07,Delhi,Delhi,28.6139,77.209,68,23.2,50.0,48.0,84.2,17.1,11.2,6.7,8.6,5.2
2025-08-09 03:22:07,Delhi,Delhi,28.6139,77.209,73,25.8,55.3,63.7,94.6,22.4,17.4,8.6,10.9,9.1
2025-08-09 04:22:07,Delhi,Delhi,28.6139,77.209,82,28.0,55.5,62.7,102.2,20.4,17.3,9.4,13.8,7.6
2025-08-09 05:22:07,Delhi,Delhi,28.6139,77.209,104,33.8,46.1,85.3,123.3,27.4,21.6,8.8,13.4,10.8
2025-08-09 06:22:07,Delhi,Delhi,28.6139,77.209,66,33.0,44.5,59.8,84.7,20.6,11.8,6.6,8.3,7.2
2025-08-09 07:22:07,Delhi,Delhi,28.6139,77.209,109,34.8,49.7,94.5,131.0,33.7,24.5,12.1,18.1,10.5
2025-08-09 08:22:07,Delhi,Delhi,28.6139,77.209,85,33.7,38.4,76.0,116.7,21.6,14.7,9.8,14.1,8.4
2025-08-09 09:22:07,Delhi,Delhi,28.6139,77.209,83,35.1,41.8,75.7,104.3,28.4,18.9,7.9,9.6,9.6
2025-08-09 10:22:07,Delhi,Delhi,28.6139,77.209,98,34.9,45.9,77.5,110.9,28.2,18.1,10.2,17.2,8.7
2025-08-09 11:22:07,Delhi,Delhi,28.6139,77.209,89,30.4,44.8,73.5,112.9,25.9,19.8,9.1,14.7,8.8
2025-08-09 12:22:07,Delhi,Delhi,28.6139,77.209,98,29.1,44.2,79.7,131.4,30.6,21.3,9.3,12.9,11.8
2025-08-09 13:22:07,Delhi,Delhi,28.6139,77.209,72,28.5,58.1,47.6,73.6,26.5,14.0,8.3,12.1,9.0
2025-08-09 14:22:07,Delhi,Delhi,28.6139,77.209,83,24.4,52.0,63.6,86.8,29.8,14.9,8.8,14.8,8.4
2025-08-09 15:22:07,Delhi,Delhi,28.6139,77.209,42,20.0,57.6,32.3,53.2,17.4,5.7,5.8,7.5,3.6
2025-08-09 16:22:07,Delhi,Delhi,28.6139,77.209,65,19.9,65.1,47.7,67.0,21.0,11.5,5.0,12.3,6.7
2025-08-09 17:22:07,Delhi,Delhi,28.6139,77.209,41,18.1,77.6,23.7,43.5,14.4,8.6,4.4,6.9,2.4
2025-08-09 18:22:07,Delhi,Delhi,28.6139,77.209,47,16.1,68.8,31.3,50.4,12.2,11.3,4.8,5.2,5.7
2025-08-09 19:22:07,Delhi,Delhi,28.6139,77.209,51,15.7,83.1,45.2,69.4,14.5,9.4,6.6,9.1,5.4
2025-08-09 20:22:07,Delhi,Delhi,28.6139,77.209,40,17.6,83.5,40.9,33.9,9.7,9.0,4.4,3.5,5.1
2025-08-09 21:22:07,Delhi,Delhi,28.6139,77.209,51,15.2,72.6,42.3,61.4,10.5,9.8,4.8,10.6,4.7
2025-08-09 22:22:07,Delhi,Delhi,28.6139,77.209,46,15.5,87.3,28.2,47.0,12.4,9.1,3.0,6.6,5.9
2025-08-09 23:22:07,Delhi,Delhi,28.6139,77.209,27,15.9,77.8,23.1,24.5,7.6,2.8,3.5,4.7,1.5
2025-08-10 00:22:07,Delhi,Delhi,28.6139,77.209,51,17.1,68.0,46.5,48.7,12.3,11.4,4.3,5.5,3.1
2025-08-10 01:22:07,Delhi,Delhi,28.6139,77.209,64,19.9,72.2,53.0,65.0,16.2,11.6,7.6,10.5,5.0
2025-08-10 02:22:07,Delhi,Delhi,28.6139,77.209,51,24.7,55.1,31.9,64.3,19.0,10.3,4.2,5.7,5.2
2025-08-10 03:22:07,Delhi,Delhi,28.6139,77.209,87,29.3,50.8,60.8,117.4,25.4,15.5,6.9,13.3,7.7
2025-08-10 04:22:07,Delhi,Delhi,28.6139,77.209,80,29.2,59.4,72.8,99.3,28.7,16.4,8.6,10.4,8.5
2025-08-10 05:22:07,Delhi,Delhi,28.6139,77.209,93,32.0,40.2,84.2,125.3,26.1,19.5,10.7,11.0,7.9
2025-08-10 06:22:07,Delhi,Delhi,28.6139,77.209,77,33.5,52.1,61.7,103.0,21.8,16.1,6.1,9.2,9.7
2025-08-10 07:22:07,Delhi,Delhi,28.6139,77.209,88,36.7,37.8,61.9,96.9,23.2,16.7,7.5,13.2,7.2
2025-08-10 08:22:07,Delhi,Delhi,28.6139,77.209,101,36.9,30.9,78.2,124.2,35.3,22.9,8.3,16.9,11.6
2025-08-10 09:22:07,Delhi,Delhi,28.6139,77.209,92,31.9,43.2,70.0,97.9,30.4,21.2,10.0,13.1,9.6
2025-08-10 10:22:07,Delhi,Delhi,28.6139,77.209,64,33.2,45.9,56.0,68.9,22.5,13.7,8.3,11.1,7.7
2025-08-10 11:22:07,Delhi,Delhi,28.6139,77.209,82,32.9,47.4,74.2,107.5,20.5,16.3,7.0,10.5,7.0
2025-08-10 12:22:07,Delhi,Delhi,28.6139,77.209,68,28.3,53.5,51.2,92.7,19.1,12.4,8.7,7.7,6.0
2025-08-10 13:22:07,Delhi,Delhi,28.6139,77.209,66,27.4,62.8,46.8,79.1,20.9,15.5,5.1,8.3,7.9
2025-08-10 14:22:07,Delhi,Delhi,28.6139,77.209,49,25.4,58.9,39.7,56.0,11.4,9.4,4.9,10.2,6.0
2025-08-10 15:22:07,Delhi,Delhi,28.6139,77.209,71,21.1,65.6,57.7,90.4,16.9,12.8,7.1,12.6,8.7
2025-08-10 16:22:07,Delhi,Delhi,28.6139,77.209,76,18.0,64.9,67.4,86.4,27.6,17.9,7.9,10.6,8.5
2025-08-10 17:22:07,Delhi,Delhi,28.6139,77.209,63,15.9,76.6,58.5,84.3,22.8,11.4,6.2,12.4,6.8
2025-08-10 18:22:07,Delhi,Delhi,28.6139,77.209,65,15.6,81.8,57.7,87.4,17.3,13.4,6.2,9.9,6.9
2025-08-10 19:22:07,Delhi,Delhi,28.6139,77.209,32,13.4,75.5,20.3,34.1,11.6,9.3,3.6,5.0,1.3
2025-08-10 20:22:07,Delhi,Delhi,28.6139,77.209,30,15.2,73.4,32.1,33.5,5.0,4.5,4.9,5.4,2.4
2025-08-10 21:22:07,Delhi,Delhi,28.6139,77.209,62,17.2,80.5,40.2,68.2,17.8,13.1,7.7,6.9,6.6
2025-08-10 22:22:07,Delhi,Delhi,28.6139,77.209,48,14.5,77.7,36.7,56.5,14.3,11.2,4.2,5.8,5.8
2025-08-10 23:22:07,Delhi,Delhi,28.6139,77.209,65,19.0,69.8,47.0,74.2,23.5,15.5,5.7,9.0,6.8
2025-08-11 00:22:07,Delhi,Delhi,28.6139,77.209,33,17.9,70.0,27.0,25.6,12.8,6.1,4.2,7.9,1.4
2025-08-11 01:22:07,Delhi,Delhi,28.6139,77.209,62,21.8,72.0,45.5,87.4,19.4,13.3,5.1,9.3,7.6
2025-08-11 02:22:07,Delhi,Delhi,28.6139,77.209,64,24.8,59.3,56.8,82.0,15.0,15.7,7.5,12.1,5.0
2025-08-11 03:22:07,Delhi,Delhi,28.6139,77.209,72,26.1,59.6,67.4,86.1,24.1,13.8,7.2,8.7,5.4
2025-08-11 04:22:07,Delhi,Delhi,28.6139,77.209,55,32.0,42.8,46.2,66.5,13.4,9.9,4.6,11.1,6.5
2025-08-11 05:22:07,Delhi,Delhi,28.6139,77.209,65,31.7,49.1,50.0,90.5,21.0,13.1,5.0,11.5,5.7
2025-08-11 06:22:07,Delhi,Delhi,28.6139,77.209,102,33.6,46.7,71.7,130.7,27.1,18.1,11.8,13.9,11.2
2025-08-11 07:22:07,Delhi,Delhi,28.6139,77.209,105,34.0,33.6,79.6,115.6,29.3,18.1,11.4,16.3,9.6
2025-08-11 08:22:07,Delhi,Delhi,28.6139,77.209,96,36.3,31.4,82.4,123.3,30.3,21.1,8.0,15.0,8.1
2025-08-11 09:22:07,Delhi,Delhi,28.6139,77.209,72,37.3,43.1,65.4,99.8,19.0,13.8,8.1,8.9,8.2
2025-08-11 10:22:07,Delhi,Delhi,28.6139,77.209,104,33.0,45.8,82.2,122.6,30.6,21.7,11.4,15.3,10.3
2025-08-11 11:22:07,Delhi,Delhi,28.6139,77.209,71,29.3,49.7,50.2,76.7,17.5,17.1,7.4,9.4,7.7
2025-08-11 12:22:07,Delhi,Delhi,28.6139,77.209,56,27.6,40.1,48.7,56.1,17.9,8.6,6.4,7.3,4.0
2025-08-11 13:22:07,Delhi,Delhi,28.6139,77.209,89,27.6,62.0,75.7,105.9,28.4,16.2,9.2,15.0,9.5
2025-08-11 14:22:07,Delhi,Delhi,28.6139,77.209,70,27.1,61.2,52.2,98.4,25.4,11.2,8.1,13.2,8.6
2025-08-11 15:22:07,Delhi,Delhi,28.6139,77.209,42,22.3,68.9,37.1,53.5,13.6,9.4,5.2,5.1,4.5
2025-08-11 16:22:07,Delhi,Delhi,28.6139,77.209,75,18.8,64.7,58.6,81.9,18.8,15.7,8.1,11.9,6.9
2025-08-11 17:22:07,Delhi,Delhi,28.6139,77.209,66,15.1,84.0,46.0,73.8,16.4,13.2,4.7,10.1,4.7
2025-08-11 18:22:07,Delhi,Delhi,28.6139,77.209,57,15.0,70.5,46.1,60.7,18.2,11.5,4.3,10.8,7.2
2025-08-11 19:22:07,Delhi,Delhi,28.6139,77.209,50,15.8,75.9,44.7,56.8,12.4,9.7,6.5,5.1,6.9
2025-08-11 20:22:07,Delhi,Delhi,28.6139,77.209,52,14.7,71.2,37.4,55.3,17.4,7.8,5.2,6.4,7.0
2025-08-11 21:22:07,Delhi,Delhi,28.6139,77.209,51,17.0,75.2,41.3,63.6,14.3,9.8,6.1,6.8,3.2
2025-08-11 22:22:07,Delhi,Delhi,28.6139,77.209,65,15.2,69.8,46.5,67.5,22.1,12.1,7.4,9.7,6.9
2025-08-11 23:22:07,Delhi,Delhi,28.6139,77.209,63,18.6,74.4,42.4,86.7,22.1,12.3,5.3,7.3,8.1
2025-08-12 00:22:07,Delhi,Delhi,28.6139,77.209,28,19.7,60.2,19.4,42.7,5.1,3.8,4.2,1.7,2.0
2025-08-12 01:22:07,Delhi,Delhi,28.6139,77.209,40,25.0,59.5,28.8,51.3,8.1,10.0,2.6,7.4,2.9
2025-08-12 02:22:07,Delhi,Delhi,28.6139,77.209,48,22.6,56.6,40.3,71.6,10.4,12.6,6.4,8.6,4.6
2025-08-12 03:22:07,Delhi,Delhi,28.6139,77.209,81,27.6,57.0,55.6,97.9,23.9,18.9,9.4,9.7,8.4
2025-08-12 04:22:07,Delhi,Delhi,28.6139,77.209,57,32.3,47.6,54.8,73.5,18.8,13.8,4.4,9.7,6.7
2025-08-12 05:22:07,Delhi,Delhi,28.6139,77.209,76,35.0,39.6,59.7,94.6,20.9,17.6,7.6,10.0,7.7
2025-08-12 06:22:07,Delhi,Delhi,28.6139,77.209,78,34.8,34.8,64.2,90.7,21.0,14.0,7.4,12.0,6.1
2025-08-12 07:22:07,Delhi,Delhi,28.6139,77.209,90,34.0,39.2,81.5,107.3,26.0,17.5,8.5,16.0,9.4
2025-08-12 08:22:07,Delhi,Delhi,28.6139,77.209,102,33.5,34.8,84.1,114.4,33.2,20.9,8.7,18.0,8.7
2025-08-12 09:22:07,Delhi,Delhi,28.6139,77.209,85,31.8,34.4,59.9,114.1,30.4,15.2,8.2,11.7,7.6
2025-08-12 10:22:07,Delhi,Delhi,28.6139,77.209,97,35.4,50.9,82.2,124.5,31.0,20.5,11.1,14.0,9.7
2025-08-12 11:22:07,Delhi,Delhi,28.6139,77.209,95,32.0,41.1,75.9,110.6,32.4,22.0,9.3,16.2,9.5
2025-08-12 12:22:07,Delhi,Delhi,28.6139,77.209,75,31.4,54.7,52.2,98.5,26.6,15.8,8.0,11.1,6.0
2025-08-12 13:22:07,Delhi,Delhi,28.6139,77.209,68,26.3,58.2,46.1,85.0,24.2,14.0,6.9,12.8,6.0
2025-08-12 14:22:07,Delhi,Delhi,28.6139,77.209,72,24.3,58.9,50.3,77.0,20.8,13.1,8.8,13.4,7.5
2025-08-12 15:22:07,Delhi,Delhi,28.6139,77.209,51,23.9,68.8,48.2,53.4,19.8,8.5,6.8,5.1,6.4
2025-08-12 16:22:07,Delhi,Delhi,28.6139,77.209,55,18.9,66.9,46.0,54.6,12.7,9.8,7.1,10.8,4.7
2025-08-12 17:22:07,Delhi,Delhi,28.6139,77.209,70,17.4,65.9,54.3,70.7,21.6,15.9,5.5,13.1,7.1
2025-08-12 18:22:07,Delhi,Delhi,28.6139,77.209,20,17.7,77.0,10.0,23.3,6.9,3.6,1.0,1.0,2.5
2025-08-12 19:22:07,Delhi,Delhi,28.6139,77.209,42,15.5,75.1,38.9,57.4,13.9,6.7,2.8,7.1,2.7
2025-08-12 20:22:07,Delhi,Delhi,28.6139,77.209,22,15.2,80.8,26.6,22.5,5.0,4.3,3.8,2.6,3.5
2025-08-12 21:22:07,Delhi,Delhi,28.6139,77.209,58,14.6,79.4,56.4,65.2,17.4,14.2,5.4,6.2,6.6
2025-08-12 22:22:07,Delhi,Delhi,28.6139,77.209,51,18.3,83.1,42.4,71.7,18.5,12.4,6.1,10.3,5.2
2025-08-12 23:22:07,Delhi,Delhi,28.6139,77.209,22,16.1,66.1,13.2,20.0,9.0,5.1,1.0,1.0,3.0
2025-08-13 00:22:07,Delhi,Delhi,28.6139,77.209,61,20.9,71.3,50.0,64.5,18.4,14.2,6.8,8.2,7.1
2025-08-13 01:22:07,Delhi,Delhi,28.6139,77.209,68,24.9,58.9,46.9,91.0,21.6,15.1,7.2,8.4,7.4
2025-08-13 02:22:07,Delhi,Delhi,28.6139,77.209,68,28.0,67.0,44.9,75.4,18.0,11.3,7.6,9.3,5.4
2025-08-13 03:22:07,Delhi,Delhi,28.6139,77.209,58,29.2,62.1,44.9,81.6,19.1,11.1,7.2,10.2,7.4
2025-08-13 04:22:07,Delhi,Delhi,28.6139,77.209,86,28.9,40.0,61.8,112.4,24.6,16.4,7.3,13.3,8.3
2025-08-13 05:22:07,Delhi,Delhi,28.6139,77.209,62,34.3,42.4,52.3,72.6,20.3,10.2,6.9,7.5,5.1
2025-08-13 06:22:07,Delhi,Delhi,28.6139,77.209,64,30.8,50.9,51.9,68.5,17.4,11.4,7.3,6.7,6.1
2025-08-13 07:22:07,Delhi,Delhi,28.6139,77.209,88,36.7,43.6,63.9,93.2,24.8,16.0,9.3,10.4,6.9
2025-08-13 08:22:07,Delhi,Delhi,28.6139,77.209,104,33.6,31.6,86.5,130.2,35.7,19.8,8.7,13.2,11.7
2025-08-13 09:22:07,Delhi,Delhi,28.6139,77.209,100,37.4,41.0,75.4,132.8,29.4,21.4,8.2,13.7,9.6
2025-08-13 10:22:07,Delhi,Delhi,28.6139,77.209,83,33.2,32.7,61.4,98.4,21.0,13.7,9.2,13.8,9.2
2025-08-13 11:22:07,Delhi,Delhi,28.6139,77.209,84,30.2,51.5,60.6,97.1,28.6,15.1,6.6,11.7,9.3
2025-08-13 12:22:07,Delhi,Delhi,28.6139,77.209,66,29.5,52.0,45.8,68.9,18.0,10.3,6.2,7.6,7.6
2025-08-13 13:22:07,Delhi,Delhi,28.6139,77.209,47,26.6,54.3,40.4,45.3,9.1,12.3,4.7,6.4,5.0
2025-08-13 14:22:07,Delhi,Delhi,28.6139,77.209,63,24.5,63.9,41.2,66.1,15.5,11.2,7.4,10.8,6.9
2025-08-13 15:22:07,Delhi,Delhi,28.6139,77.209,62,21.3,64.6,44.9,63.1,19.7,10.7,6.1,11.1,7.8
2025-08-13 16:22:07,Delhi,Delhi,28.6139,77.209,60,22.4,63.1,53.8,78.6,14.5,9.6,6.6,6.5,5.9
2025-08-13 17:22:07,Delhi,Delhi,28.6139,77.209,60,17.8,67.9,44.3,74.6,21.7,12.5,5.9,8.9,5.3
2025-08-13 18:22:07,Delhi,Delhi,28.6139,77.209,50,15.1,86.8,33.5,53.6,15.0,11.2,6.9,9.5,4.6
2025-08-13 19:22:07,Delhi,Delhi,28.6139,77.209,55,14.3,82.6,46.2,75.0,12.0,8.1,4.1,8.8,6.0
2025-08-13 20:22:07,Delhi,Delhi,28.6139,77.209,60,17.4,87.6,42.4,82.7,22.0,14.7,8.0,8.7,6.0
2025-08-13 21:22:07,Delhi,Delhi,28.6139,77.209,57,15.8,72.8,43.7,66.0,16.2,11.5,6.9,5.7,6.9
2025-08-13 22:22:07,Delhi,Delhi,28.6139,77.209,60,16.5,71.7,42.3,74.5,20.4,11.6,4.2,7.6,6.2
2025-08-13 23:22:07,Delhi,Delhi,28.6139,77.209,38,16.9,81.8,24.2,52.5,13.1,8.6,4.4,7.8,2.1
2025-08-14 00:22:07,Delhi,Delhi,28.6139,77.209,30,22.1,69.2,31.3,24.6,5.8,4.5,2.6,2.0,3.8
2025-08-14 01:22:07,Delhi,Delhi,28.6139,77.209,62,19.7,69.6,50.1,72.2,19.7,14.8,5.1,9.3,4.4
2025-08-14 02:22:07,Delhi,Delhi,28.6139,77.209,62,24.9,68.6,48.3,78.3,22.7,11.8,6.3,9.6,7.9
2025-08-14 03:22:07,Delhi,Delhi,28.6139,77.209,52,25.1,51.4,35.0,60.8,13.5,13.4,5.6,7.0,5.9
2025-08-14 04:22:07,Delhi,Delhi,28.6139,77.209,92,29.3,42.7,82.4,102.9,29.2,18.6,9.0,14.4,8.5
2025-08-14 05:22:07,Delhi,Delhi,28.6139,77.209,99,31.1,52.2,75.8,104.2,29.3,21.9,10.8,13.2,11.5
2025-08-14 06:22:07,Delhi,Delhi,28.6139,77.209,100,31.2,40.9,78.4,118.1,31.1,21.4,11.9,14.7,10.7
2025-08-14 07:22:07,Delhi,Delhi,28.6139,77.209,63,35.5,40.4,54.8,65.7,23.7,10.8,8.1,9.1,5.8
